"","Population","Row","Column","Block","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Year","Pop_ID"
"1",1,10,5,1,5,2,"second inflor formed but tiny flowers aren't growing. seems aborted. no follicles this year","7/28/2020","7/28/2020",NA,NA,2,15,2.61,2.1,6.48,4,6.65,6.94,0,2.05,1.93,6.19,3.53,6.39,6.17,0,2.36,1.97,6.83,3.5,6.96,7.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.481,3.9565,4.6492,NA,NA,NA,NA,NA,NA,4.69556666666667,NA,NA,4.69556666666667,25.92,21.8507,23.905,NA,NA,NA,NA,NA,NA,23.8919,NA,NA,23.8919,46.151,39.4263,49.2768,NA,NA,NA,NA,NA,NA,44.9513666666667,NA,NA,44.9513666666667,24.5129444444444,15,15,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020",NA
"2",1,6,26,2,1,3,NA,"8/5/2020","8/5/2020","8/28/2020",1,2,26,3,2.03,9.18,3.88,8.53,8.58,4,2.72,2.06,7.68,3.75,7.82,7.69,0,2.39,2.06,9.37,3.88,7.64,7.62,1,16,2.99,2.07,9.01,3.8,7.81,8.06,2,3.29,2.09,8.7,3.81,8.31,8.37,5,2.6,2.08,8.34,3.99,7.1,7.04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.09,5.6032,4.9234,6.1893,6.8761,5.408,NA,NA,NA,5.53886666666667,6.1578,NA,5.84833333333333,35.6184,28.8,36.3556,34.238,33.147,33.2766,NA,NA,NA,33.5913333333333,33.5538666666667,NA,33.5726,73.1874,60.1358,58.2168,62.9486,69.5547,49.984,NA,NA,NA,63.8466666666667,60.8291,NA,62.3378833333333,33.9196055555555,21,42,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020",NA
"3",1,6,35,2,3,4,NA,"8/5/2020","8/5/2020","8/25/2020",5,3,18,2.61,2.07,6.53,3.83,9.61,9.4,3,3.17,2.32,5.74,4.09,8.81,8.77,1,2.79,2.18,5.14,4.17,8,7.97,1,22,3.26,2.08,6.37,3.99,8.86,8.97,1,3.2,2.33,4.38,4.15,9.11,9.01,2,3.49,2.31,6.93,4.37,9.16,9.01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.4027,7.3544,6.0822,6.7808,7.456,8.0619,NA,NA,NA,6.27976666666667,7.4329,NA,6.85633333333333,25.0099,23.4766,21.4338,25.4163,18.177,30.2841,NA,NA,NA,23.3067666666667,24.6258,NA,23.9662833333333,90.334,77.2637,63.76,79.4742,82.0811,82.5316,NA,NA,NA,77.1192333333333,81.3623,NA,79.2407666666667,36.6877944444444,20,40,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020",NA
"4",1,7,37,2,1,1,NA,"7/14/2020","7/31/2020","8/11/2020",7,3,29,2.78,1.56,7.46,3.89,8.08,7.85,3,2.49,1.58,6.87,3.76,7.75,7.99,3,2.88,1.76,6.86,3.61,7.62,7.1,0,33,3.06,1.93,7.87,3.31,7.92,8.03,4,2.62,1.75,6.67,3.58,8.25,7.97,2,2.54,1.77,7.43,3.46,7.95,6.9,1,7,2.62,1.9,7.79,3.84,7.69,7.87,1,2.81,1.96,7.62,3.59,7.18,7.2,0,2.66,2.07,7.22,3.52,6.97,7.07,0,1,4.3368,3.9342,5.0688,5.9058,4.585,4.4958,4.978,5.5076,5.5062,4.4466,4.99553333333333,5.3306,4.92424444444444,29.0194,25.8312,24.7646,26.0497,23.8786,25.7078,29.9136,27.3558,25.4144,26.5384,25.2120333333333,27.5612666666667,26.4372333333333,63.428,61.9225,54.102,63.5976,65.7525,54.855,60.5203,51.696,49.2779,59.8175,61.4017,53.8314,58.3502,29.9038925925926,23,69,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377,"2020",NA
"5",4,4,33,2,3,2,NA,"7/28/2020","8/5/2020","8/21/2020",11,4,21,2.84,2.36,8.38,4.33,7.64,7.59,1,2.9,2.29,7.96,3.75,7.8,7.71,0,2.63,2.15,5.34,3.91,7.17,7.04,0,28,2.83,2.46,6.99,4.7,7.8,8.25,1,3.04,2.42,6.07,4.45,7.41,7.76,0,2.78,2.38,8.35,4.1,7.91,7.63,2,20,2.9,2.41,7.23,4.34,8.46,7.99,2,2.62,2.22,7.83,3.81,7.85,8.07,0,3.47,2.58,8.75,3.94,8.65,8.21,3,1,6.7024,6.641,5.6545,6.9618,7.3568,6.6164,6.989,5.8164,8.9526,6.33263333333333,6.97833333333333,7.25266666666667,6.85454444444444,36.2854,29.85,20.8794,32.853,27.0115,34.235,31.3782,29.8323,34.475,29.0049333333333,31.3665,31.8951666666667,30.7555333333333,57.9876,60.138,50.4768,64.35,57.5016,60.3533,67.5954,63.3495,71.0165,56.2008,60.7349666666667,67.3204666666667,61.4187444444444,33.0096074074074,23,69,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,"2020",NA
"6",7,4,36,2,5,5,NA,"7/24/2020","8/5/2020","8/18/2020",25,9,47,3.32,2.37,10.18,4.29,9.72,9.75,0,4.28,2.34,10.35,3.81,10.84,10.89,1,4.44,2.54,10.03,4.14,10.96,10.53,0,49,3.5,2.35,10.11,3.78,9.73,9.37,4,3.51,2.08,9.85,3.7,10.03,9.52,4,2.75,2.2,9.21,4.13,8.75,7.86,2,39,3.32,2.51,10.08,4.13,9.14,9.68,1,3.4,2.42,9.54,3.95,10.01,9.91,2,3.47,2.43,10.33,4.01,9.8,10.08,0,1,7.8684,10.0152,11.2776,8.225,7.3008,6.05,8.3332,8.228,8.4321,9.7204,7.19193333333333,8.3311,8.41447777777778,43.6722,39.4335,41.5242,38.2158,36.445,38.0373,41.6304,37.683,41.4233,41.5433,37.5660333333333,40.2455666666667,39.7849666666667,94.77,118.0476,115.4088,91.1701,95.4856,68.775,88.4752,99.1991,98.784,109.4088,85.1435666666667,95.4861,96.6794888888889,48.2929777777778,45,135,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,"2020",NA
"7",11,5,7,1,1,2,NA,"7/14/2020","7/21/2020","8/8/2020",5,2,32,2.98,1.86,9.22,3.65,7.79,8.35,3,2.77,1.7,8.86,3.63,8.82,8.67,5,2.56,2.12,8.61,3.37,7.35,7.71,3,36,3.51,1.99,7.27,2.38,7,6.23,5,3.49,2.03,8.45,4.57,8.36,9.01,4,2.64,1.85,8.56,3.88,8.22,7.77,4,35,3.05,1.88,8.93,3.82,8.13,9.06,5,3.39,1.58,8.96,4.13,8.23,8.41,4,3.31,1.91,9.21,3.94,8.55,8.66,4,1,5.5428,4.709,5.4272,6.9849,7.0847,4.884,5.734,5.3562,6.3221,5.22633333333333,6.31786666666667,5.8041,5.78276666666667,33.653,32.1618,29.0157,17.3026,38.6165,33.2128,34.1126,37.0048,36.2874,31.6101666666667,29.7106333333333,35.8016,32.3741333333333,65.0465,76.4694,56.6685,43.61,75.3236,63.8694,73.6578,69.2143,74.043,66.0614666666667,60.9343333333333,72.3050333333333,66.4336111111111,34.8635037037037,34.3333333333333,103,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2020",NA
"8",12,13,29,4,1,2,NA,"8/8/2020","8/18/2020","9/1/2020",1,2,32,2.42,2.24,6.54,4.2,7.06,7.38,0,2.33,2.13,6.56,4.07,7.3,7.06,2,2.44,2.1,7.31,3.82,6.95,7.2,4,20,2.2,1.86,5.72,3.87,7.36,7.27,2,2.33,2.12,6.78,3.63,7,6.96,2,2.21,1.94,6.18,3.47,6.98,6.99,1,1,2.32,1.89,8.02,3.86,7.21,6.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.4208,4.9629,5.124,4.092,4.9396,4.2874,4.3848,NA,NA,5.16923333333333,4.43966666666667,4.3848,4.66456666666667,27.468,26.6992,27.9242,22.1364,24.6114,21.4446,30.9572,NA,NA,27.3638,22.7308,30.9572,27.0172666666667,52.1028,51.538,50.04,53.5072,48.72,48.7902,48.3791,NA,NA,51.2269333333333,50.3391333333333,48.3791,49.9817222222222,27.2211851851852,17.6666666666667,53,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2020",NA
"9",12,3,40,2,5,3,"Inflor 1 only had 1 viable flower; others too withered/old when surveyed on 7/13. I2 also only had 2 viable flowers. When I collected the follicle, it had already lost some seeds to dispersal.","7/13/2020","7/13/2020","7/31/2020",1,1,7,2.91,2.15,3.6,7.03,7.47,6.94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.57,3.89,4.05,8.86,8.92,8.89,2,2.55,2.96,3.34,9.42,9.62,8.78,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.2565,NA,NA,9.9973,7.548,NA,NA,NA,NA,6.2565,8.77265,NA,7.514575,25.308,NA,NA,35.883,31.4628,NA,NA,NA,NA,25.308,33.6729,NA,29.49045,51.8418,NA,NA,79.2988,84.4636,NA,NA,NA,NA,51.8418,81.8812,NA,66.8615,34.622175,5,10,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2020",NA
"10",21,8,33,2,1,2,NA,"7/24/2020","7/28/2020","8/21/2020",1,2,45,2.62,2.46,7.68,4.03,7.73,7.7,0,2.69,2.53,7.93,4.11,7.53,8.28,1,2.44,2.48,7.72,3.89,7.76,7.39,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.4452,6.8057,6.0512,NA,NA,NA,NA,NA,NA,6.43403333333333,NA,NA,6.43403333333333,30.9504,32.5923,30.0308,NA,NA,NA,NA,NA,NA,31.1911666666667,NA,NA,31.1911666666667,59.521,62.3484,57.3464,NA,NA,NA,NA,NA,NA,59.7386,NA,NA,59.7386,32.4546,39,78,"AS034",43.399222,-79.930576,"Rural",52795.3944398004,52.7953944398004,"Rural",-3.55627,"2020",NA
